country_iso,year,population
AGO,2013,26165620
AGO,2014,27160769
AGO,2015,28157798
AGO,2016,29183070
AGO,2017,30234839
AGO,2018,31297155
AGO,2019,32375632
AGO,2020,33451132
AGO,2021,34532429
AGO,2022,35635029
AGO,2023,36749906
BWA,2013,2140682
BWA,2014,2172044
BWA,2015,2203273
BWA,2016,2234776
BWA,2017,2266747
BWA,2018,2299141
BWA,2019,2332083
BWA,2020,2365894
BWA,2021,2401441
BWA,2022,2439892
BWA,2023,2480244
COD,2013,75789395
COD,2014,78403242
COD,2015,81035531
COD,2016,83956415
COD,2017,87083398
COD,2018,90047644
COD,2019,92947442
COD,2020,95989998
COD,2021,99148932
COD,2022,102396968
COD,2023,105789731
COM,2013,696192
COM,2014,711503
COM,2015,726682
COM,2016,741741
COM,2017,756669
COM,2018,771590
COM,2019,786578
COM,2020,802163
COM,2021,818174
COM,2022,834188
COM,2023,850387
LSO,2013,2056504
LSO,2014,2080089
LSO,2015,2104611
LSO,2016,2130422
LSO,2017,2157110
LSO,2018,2183603
LSO,2019,2209405
LSO,2020,2235727
LSO,2021,2261542
LSO,2022,2286110
LSO,2023,2311472
MDG,2013,24109290
MDG,2014,24764348
MDG,2015,25426702
MDG,2016,26099952
MDG,2017,26788375
MDG,2018,27494926
MDG,2019,28219554
MDG,2020,28953556
MDG,2021,29691083
MDG,2022,30437260
MDG,2023,31195932
MOZ,2013,25051611
MOZ,2014,25788475
MOZ,2015,26547572
MOZ,2016,27337105
MOZ,2017,28166393
MOZ,2018,29018644
MOZ,2019,29884380
MOZ,2020,30783688
MOZ,2021,31707800
MOZ,2022,32656246
MOZ,2023,33635160
MUS,2013,1290984
MUS,2014,1292005
MUS,2015,1292275
MUS,2016,1291803
MUS,2017,1290655
MUS,2018,1288833
MUS,2019,1286270
MUS,2020,1283223
MUS,2021,1279623
MUS,2022,1276130
MUS,2023,1273588
MWI,2013,16161816
MWI,2014,16621538
MWI,2015,17085587
MWI,2016,17557739
MWI,2017,18039715
MWI,2018,18528081
MWI,2019,19025752
MWI,2020,19533888
MWI,2021,20047258
MWI,2022,20568728
MWI,2023,21104482
NAM,2013,2252508
NAM,2014,2312139
NAM,2015,2374300
NAM,2016,2439213
NAM,2017,2506853
NAM,2018,2577327
NAM,2019,2650494
NAM,2020,2728762
NAM,2021,2810548
NAM,2022,2889662
NAM,2023,2963095
SWZ,2013,1129990
SWZ,2014,1136299
SWZ,2015,1142813
SWZ,2016,1149507
SWZ,2017,1158195
SWZ,2018,1168929
SWZ,2019,1179874
SWZ,2020,1192729
SWZ,2021,1206593
SWZ,2022,1218917
SWZ,2023,1230506
SYC,2013,102093
SYC,2014,104654
SYC,2015,107230
SYC,2016,109821
SYC,2017,112427
SYC,2018,115040
SYC,2019,117650
SYC,2020,120291
SYC,2021,122987
SYC,2022,125522
SYC,2023,127951
TZA,2013,48824128
TZA,2014,50351512
TZA,2015,52020962
TZA,2016,53824013
TZA,2017,55652890
TZA,2018,57437144
TZA,2019,59174891
TZA,2020,60972798
TZA,2021,62830412
TZA,2022,64711821
TZA,2023,66617606
ZAF,2013,54678791
ZAF,2014,55594838
ZAF,2015,56723536
ZAF,2016,57259551
ZAF,2017,57635162
ZAF,2018,58613000
ZAF,2019,59587885
ZAF,2020,60562381
ZAF,2021,61502603
ZAF,2022,62378410
ZAF,2023,63212384
ZMB,2013,15398997
ZMB,2014,15895315
ZMB,2015,16399089
ZMB,2016,16914423
ZMB,2017,17441320
ZMB,2018,17973569
ZMB,2019,18513839
ZMB,2020,19059395
ZMB,2021,19603607
ZMB,2022,20152938
ZMB,2023,20723965
ZWE,2013,14013808
ZWE,2014,14207359
ZWE,2015,14399013
ZWE,2016,14600294
ZWE,2017,14812482
ZWE,2018,15034452
ZWE,2019,15271368
ZWE,2020,15526888
ZWE,2021,15797210
ZWE,2022,16069056
ZWE,2023,16340822
